Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
01/14/2022,10/16/2021,Southwest Region,Fully Vaccinated,756,21,12,5282636
01/14/2022,06/05/2021,Eastern Region,Partially Vaccinated,15,0,0,685671
01/14/2022,09/11/2021,Northwest Region,Fully Vaccinated,750,29,17,5046958
01/14/2022,07/31/2021,Northern Region,Fully Vaccinated,648,9,2,4735961
01/14/2022,02/06/2021,Central Region,Unvaccinated,3668,111,63,7577823
01/14/2022,06/05/2021,Northwest Region,Partially Vaccinated,13,1,0,685671
01/14/2022,09/18/2021,Eastern Region,Partially Vaccinated,330,7,3,588872
01/14/2022,09/04/2021,Eastern Region,Fully Vaccinated,1122,32,13,4993792
01/14/2022,02/13/2021,Eastern Region,Fully Vaccinated,8,0,0,388983
01/14/2022,04/03/2021,Northern Region,Partially Vaccinated,301,7,4,1261673
01/14/2022,07/17/2021,Northwest Region,Fully Vaccinated,87,7,0,4656723
01/14/2022,07/17/2021,Northwest Region,Unvaccinated,389,19,3,3399979
01/14/2022,01/30/2021,Southwest Region,Fully Vaccinated,2,0,0,153503
01/14/2022,07/03/2021,Southwest Region,Partially Vaccinated,17,4,0,491659
01/14/2022,11/06/2021,Southwest Region,Fully Vaccinated,466,23,5,5396705
01/14/2022,07/24/2021,Northwest Region,Fully Vaccinated,175,2,2,4697306
01/14/2022,02/13/2021,Northwest Region,Unvaccinated,2490,72,21,7458288
01/14/2022,05/15/2021,Northern Region,Partially Vaccinated,70,2,0,812753
01/14/2022,09/04/2021,Northwest Region,Fully Vaccinated,729,36,11,4993792
01/14/2022,09/11/2021,Central Region,Partially Vaccinated,245,2,4,593528
01/14/2022,07/10/2021,Northwest Region,Unvaccinated,268,14,3,3443254
01/14/2022,04/10/2021,Central Region,Fully Vaccinated,33,5,2,2099346
01/14/2022,07/17/2021,Central Region,Fully Vaccinated,110,4,2,4656723
01/14/2022,02/20/2021,Central Region,Unvaccinated,2348,76,35,7349843
01/14/2022,11/06/2021,Northwest Region,Partially Vaccinated,102,5,0,624445
