Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
02/18/2022,01/01/2022,Southwest Region,Fully Vaccinated,2035,30,13,5893138
02/18/2022,07/10/2021,Northwest Region,Partially Vaccinated,14,2,0,481478
02/18/2022,07/31/2021,Eastern Region,Unvaccinated,1871,73,19,3327903
02/18/2022,05/15/2021,Northern Region,Unvaccinated,581,26,7,4136963
02/18/2022,08/07/2021,Northwest Region,Fully Vaccinated,440,18,6,4788904
02/18/2022,09/18/2021,Southwest Region,Partially Vaccinated,362,14,3,586560
02/18/2022,09/25/2021,Central Region,Partially Vaccinated,237,4,1,576885
02/18/2022,09/25/2021,Northern Region,Unvaccinated,1899,36,11,2839432
02/18/2022,01/23/2021,Southwest Region,Partially Vaccinated,343,14,21,448524
02/18/2022,12/04/2021,Eastern Region,Partially Vaccinated,191,7,1,686793
02/18/2022,02/20/2021,Southwest Region,Partially Vaccinated,105,7,1,634307
02/18/2022,10/02/2021,Northern Region,Fully Vaccinated,813,17,2,5213915
02/18/2022,01/01/2022,Eastern Region,Unvaccinated,19918,636,67,2004137
02/18/2022,10/23/2021,Eastern Region,Unvaccinated,1264,29,16,2672506
02/18/2022,11/20/2021,Southwest Region,Fully Vaccinated,617,16,10,5537629
02/18/2022,10/09/2021,Central Region,Fully Vaccinated,469,13,6,5255851
02/18/2022,08/21/2021,Northern Region,Fully Vaccinated,1033,22,3,4887435
02/18/2022,10/02/2021,Central Region,Fully Vaccinated,474,18,9,5213915
02/18/2022,02/13/2021,Central Region,Unvaccinated,3011,92,41,7510837
02/18/2022,09/11/2021,Southwest Region,Fully Vaccinated,1209,24,18,5062606
02/18/2022,04/17/2021,Northwest Region,Partially Vaccinated,183,8,1,1261740
02/18/2022,06/05/2021,Southwest Region,Partially Vaccinated,13,1,0,685946
02/18/2022,09/04/2021,Northern Region,Fully Vaccinated,953,15,5,5009071
02/18/2022,01/30/2021,Northwest Region,Fully Vaccinated,0,0,0,154078
02/18/2022,05/29/2021,Eastern Region,Fully Vaccinated,32,2,0,4032975
02/18/2022,01/08/2022,Northern Region,Fully Vaccinated,2448,51,21,5932063
02/18/2022,04/10/2021,Southwest Region,Fully Vaccinated,26,7,1,2104147
02/18/2022,08/28/2021,Eastern Region,Partially Vaccinated,352,13,9,591003
02/18/2022,08/07/2021,Central Region,Fully Vaccinated,486,11,9,4788904
02/18/2022,01/01/2022,Northern Region,Unvaccinated,30481,436,50,2004137
02/18/2022,08/21/2021,Central Region,Unvaccinated,3195,36,42,3116949
02/18/2022,04/17/2021,Northern Region,Unvaccinated,1817,50,5,4884291
02/18/2022,06/19/2021,Southwest Region,Unvaccinated,169,21,3,3623559
02/18/2022,04/24/2021,Northwest Region,Fully Vaccinated,39,1,0,2773565
02/18/2022,07/24/2021,Northern Region,Fully Vaccinated,413,7,1,4710031
02/18/2022,01/30/2021,Eastern Region,Fully Vaccinated,0,0,0,154078
02/18/2022,10/02/2021,Northwest Region,Unvaccinated,3013,74,48,2801022
02/18/2022,01/15/2022,Northwest Region,Partially Vaccinated,1029,9,2,715636
02/18/2022,04/17/2021,Eastern Region,Unvaccinated,1801,86,17,4884291
02/18/2022,05/01/2021,Northwest Region,Unvaccinated,1056,35,11,4410976
02/18/2022,04/17/2021,Northern Region,Fully Vaccinated,73,1,0,2444532
02/18/2022,11/06/2021,Northern Region,Partially Vaccinated,102,0,1,586126
02/18/2022,03/20/2021,Eastern Region,Unvaccinated,2355,109,28,6385588
02/18/2022,07/31/2021,Northern Region,Unvaccinated,1047,31,5,3327903
02/18/2022,07/24/2021,Northern Region,Unvaccinated,753,20,3,3391720
02/18/2022,02/13/2021,Central Region,Fully Vaccinated,8,0,0,390144
02/18/2022,08/28/2021,Northwest Region,Unvaccinated,3636,75,27,3051556
02/18/2022,01/08/2022,Southwest Region,Fully Vaccinated,2227,22,12,5932063
02/18/2022,04/17/2021,Central Region,Fully Vaccinated,23,1,0,2444532
02/18/2022,03/13/2021,Central Region,Fully Vaccinated,12,0,0,1124107
02/18/2022,04/03/2021,Northwest Region,Fully Vaccinated,21,1,0,1791106
02/18/2022,01/30/2021,Northern Region,Unvaccinated,4778,109,35,7798954
02/18/2022,04/03/2021,Central Region,Unvaccinated,1623,50,21,5536310
02/18/2022,10/30/2021,Eastern Region,Fully Vaccinated,384,9,4,5396531
02/18/2022,10/09/2021,Northern Region,Partially Vaccinated,134,3,1,575362
02/18/2022,01/29/2022,Northern Region,Unvaccinated,7740,45,5,1842190
02/18/2022,09/11/2021,Northwest Region,Partially Vaccinated,304,10,4,591443
02/18/2022,08/21/2021,Central Region,Partially Vaccinated,223,3,2,586179
02/18/2022,09/18/2021,Northwest Region,Partially Vaccinated,306,9,3,586560
02/18/2022,02/12/2022,Northern Region,Unvaccinated,2348,15,5,1805476
02/18/2022,11/13/2021,Northwest Region,Partially Vaccinated,116,1,1,656060
02/18/2022,01/15/2022,Northwest Region,Unvaccinated,13303,101,57,1903621
02/18/2022,05/29/2021,Central Region,Partially Vaccinated,30,1,0,734953
02/18/2022,01/15/2022,Central Region,Unvaccinated,16722,28,46,1903621
02/18/2022,01/15/2022,Southwest Region,Partially Vaccinated,1314,3,3,715636
02/18/2022,06/26/2021,Central Region,Fully Vaccinated,29,0,2,4313363
02/18/2022,01/29/2022,Eastern Region,Fully Vaccinated,1337,58,4,6031533
02/18/2022,08/28/2021,Northwest Region,Partially Vaccinated,259,5,1,591003
02/18/2022,02/13/2021,Northern Region,Unvaccinated,3373,65,19,7510837
02/18/2022,10/23/2021,Southwest Region,Partially Vaccinated,145,7,3,578547
02/18/2022,02/12/2022,Southwest Region,Unvaccinated,5568,32,25,1805476
03/18/2022,08/28/2021,Northern Region,Unvaccinated,1785,50,8,3046813
03/18/2022,01/08/2022,Eastern Region,Partially Vaccinated,2683,54,24,704042
03/18/2022,06/26/2021,Northern Region,Unvaccinated,200,4,1,3792850
03/18/2022,05/15/2021,Central Region,Partially Vaccinated,41,4,0,813651
03/18/2022,01/08/2022,Eastern Region,Fully Vaccinated,3905,167,61,5938740
03/18/2022,08/28/2021,Central Region,Partially Vaccinated,254,4,3,591098
03/18/2022,05/08/2021,Southwest Region,Fully Vaccinated,43,5,1,3390998
03/18/2022,07/10/2021,Northern Region,Unvaccinated,314,15,2,3482869
03/18/2022,08/28/2021,Eastern Region,Unvaccinated,4487,119,56,3046813
03/18/2022,07/17/2021,Southwest Region,Partially Vaccinated,19,0,0,477529
03/18/2022,11/20/2021,Eastern Region,Partially Vaccinated,103,5,1,706888
03/18/2022,03/27/2021,Northwest Region,Unvaccinated,1439,29,14,5921206
03/18/2022,10/23/2021,Northwest Region,Fully Vaccinated,531,19,8,5344501
03/18/2022,01/01/2022,Eastern Region,Partially Vaccinated,2106,74,9,693831
03/18/2022,02/26/2022,Central Region,Fully Vaccinated,352,6,1,6178625
03/18/2022,04/03/2021,Northern Region,Fully Vaccinated,48,0,0,1793357
02/25/2022,01/01/2022,Central Region,Unvaccinated,17700,54,68,2002356
02/25/2022,04/10/2021,Southwest Region,Partially Vaccinated,94,13,2,1307499
02/25/2022,11/20/2021,Southwest Region,Partially Vaccinated,149,8,6,707023
02/25/2022,11/27/2021,Eastern Region,Unvaccinated,1219,54,30,2287908
02/25/2022,03/13/2021,Southwest Region,Partially Vaccinated,106,10,2,783788
02/25/2022,02/19/2022,Northwest Region,Fully Vaccinated,634,21,0,6157094
02/25/2022,06/19/2021,Southwest Region,Partially Vaccinated,9,1,0,528005
02/25/2022,11/06/2021,Central Region,Fully Vaccinated,362,13,5,5452346
02/25/2022,06/12/2021,Central Region,Fully Vaccinated,16,0,0,4320644
02/25/2022,04/03/2021,Northwest Region,Unvaccinated,1399,46,15,5535463
02/25/2022,05/15/2021,Eastern Region,Partially Vaccinated,40,9,1,813405
02/25/2022,04/17/2021,Eastern Region,Fully Vaccinated,44,4,4,2445269
02/25/2022,07/31/2021,Northwest Region,Partially Vaccinated,53,4,0,513635
02/25/2022,02/19/2022,Eastern Region,Unvaccinated,1118,13,8,1715443
02/25/2022,10/23/2021,Central Region,Partially Vaccinated,91,2,1,578547
02/25/2022,05/08/2021,Southwest Region,Partially Vaccinated,46,7,2,930441
02/25/2022,02/27/2021,Northwest Region,Unvaccinated,1514,27,4,7227138
02/25/2022,06/19/2021,Northern Region,Partially Vaccinated,19,1,0,528005
02/25/2022,03/06/2021,Northern Region,Partially Vaccinated,90,10,3,673662
02/25/2022,07/31/2021,Central Region,Fully Vaccinated,398,5,7,4750193
02/25/2022,02/19/2022,Eastern Region,Partially Vaccinated,156,5,0,718026
02/25/2022,09/11/2021,Northern Region,Fully Vaccinated,1107,26,4,5063825
02/25/2022,12/18/2021,Northern Region,Fully Vaccinated,3276,31,5,5818633
02/25/2022,04/10/2021,Northwest Region,Partially Vaccinated,151,8,5,1307499
02/25/2022,01/30/2021,Eastern Region,Unvaccinated,5785,209,83,7798590
02/25/2022,05/01/2021,Northwest Region,Fully Vaccinated,40,1,0,3113073
02/25/2022,06/05/2021,Central Region,Unvaccinated,197,8,3,3745334
02/25/2022,01/30/2021,Southwest Region,Partially Vaccinated,249,18,16,637810
02/25/2022,01/29/2022,Northern Region,Fully Vaccinated,902,16,4,6033335
02/25/2022,07/10/2021,Northern Region,Partially Vaccinated,24,3,0,481495
02/25/2022,05/22/2021,Northern Region,Partially Vaccinated,61,2,0,765390
02/25/2022,02/27/2021,Northern Region,Partially Vaccinated,94,2,1,581388
02/25/2022,01/22/2022,Northern Region,Partially Vaccinated,1018,6,5,686611
02/25/2022,04/24/2021,Central Region,Unvaccinated,1149,39,13,4625013
02/25/2022,03/06/2021,Northwest Region,Fully Vaccinated,10,3,0,954495
02/25/2022,05/01/2021,Eastern Region,Unvaccinated,1341,52,13,4409894
02/25/2022,06/19/2021,Southwest Region,Fully Vaccinated,20,1,0,4440126
02/25/2022,01/23/2021,Northwest Region,Partially Vaccinated,160,3,5,448810
02/25/2022,12/18/2021,Northwest Region,Fully Vaccinated,1017,28,16,5818633
02/25/2022,11/06/2021,Northwest Region,Fully Vaccinated,539,14,8,5452346
02/25/2022,12/04/2021,Central Region,Fully Vaccinated,546,12,5,5679618
02/25/2022,03/20/2021,Northwest Region,Partially Vaccinated,67,4,1,942838
02/25/2022,01/15/2022,Southwest Region,Unvaccinated,15507,58,81,1901809
02/25/2022,03/13/2021,Eastern Region,Unvaccinated,2228,81,52,6682282
02/25/2022,02/12/2022,Southwest Region,Fully Vaccinated,831,19,6,6085368
02/25/2022,10/09/2021,Southwest Region,Partially Vaccinated,198,12,3,575358
02/25/2022,11/20/2021,Central Region,Unvaccinated,1292,27,18,2344614
02/25/2022,09/25/2021,Central Region,Unvaccinated,3068,57,38,2838178
02/25/2022,09/04/2021,Northern Region,Unvaccinated,1879,47,8,2988376
02/25/2022,04/24/2021,Southwest Region,Partially Vaccinated,103,13,4,1191184
02/25/2022,05/15/2021,Southwest Region,Partially Vaccinated,41,5,0,813405
02/25/2022,02/19/2022,Northern Region,Fully Vaccinated,540,4,0,6157094
02/25/2022,10/23/2021,Central Region,Unvaccinated,1243,40,30,2671233
02/25/2022,12/11/2021,Northwest Region,Fully Vaccinated,891,32,17,5765133
02/25/2022,01/23/2021,Eastern Region,Unvaccinated,6804,269,114,8050925
02/25/2022,05/01/2021,Northern Region,Unvaccinated,1055,25,7,4409894
02/25/2022,12/25/2021,Northern Region,Partially Vaccinated,1857,21,4,681524
02/25/2022,02/19/2022,Northwest Region,Partially Vaccinated,161,5,0,718026
02/25/2022,08/21/2021,Northwest Region,Fully Vaccinated,607,19,11,4888613
02/25/2022,08/28/2021,Southwest Region,Partially Vaccinated,262,2,1,591018
02/25/2022,11/20/2021,Southwest Region,Unvaccinated,1985,86,44,2344614
02/25/2022,07/10/2021,Southwest Region,Fully Vaccinated,72,9,2,4622868
02/25/2022,10/23/2021,Central Region,Fully Vaccinated,368,11,5,5340783
02/25/2022,10/16/2021,Northern Region,Fully Vaccinated,714,13,3,5301431
02/25/2022,05/01/2021,Northwest Region,Partially Vaccinated,78,4,0,1067596
02/25/2022,12/18/2021,Southwest Region,Unvaccinated,2692,73,43,2105214
02/25/2022,05/15/2021,Eastern Region,Unvaccinated,627,36,11,4135859
02/25/2022,11/06/2021,Eastern Region,Unvaccinated,1005,24,11,2552105
02/25/2022,02/06/2021,Eastern Region,Partially Vaccinated,283,20,9,712509
02/25/2022,07/31/2021,Northwest Region,Fully Vaccinated,283,8,0,4750193
02/25/2022,11/06/2021,Central Region,Partially Vaccinated,79,4,3,586112
02/25/2022,05/01/2021,Eastern Region,Fully Vaccinated,32,2,1,3113073
02/25/2022,08/07/2021,Northern Region,Partially Vaccinated,157,2,0,548333
02/25/2022,11/20/2021,Central Region,Fully Vaccinated,440,12,4,5538926
02/25/2022,06/19/2021,Northern Region,Unvaccinated,181,7,0,3622432
02/25/2022,01/08/2022,Northern Region,Partially Vaccinated,2458,21,6,703698
02/25/2022,05/22/2021,Southwest Region,Fully Vaccinated,52,6,4,3881619
02/25/2022,02/06/2021,Northern Region,Partially Vaccinated,129,9,3,712509
02/25/2022,03/13/2021,Northwest Region,Fully Vaccinated,11,0,0,1124493
02/25/2022,02/05/2022,Northwest Region,Partially Vaccinated,400,6,0,708714
02/25/2022,02/05/2022,Northwest Region,Fully Vaccinated,1262,23,4,6062589
02/25/2022,03/20/2021,Northern Region,Fully Vaccinated,28,2,0,1262880
02/25/2022,03/27/2021,Eastern Region,Partially Vaccinated,205,15,3,1157835
02/25/2022,09/25/2021,Southwest Region,Fully Vaccinated,1120,31,22,5175481
02/25/2022,03/27/2021,Southwest Region,Partially Vaccinated,105,11,2,1157835
02/25/2022,12/18/2021,Central Region,Partially Vaccinated,267,1,2,666716
02/25/2022,09/04/2021,Southwest Region,Fully Vaccinated,1103,37,26,5010277
02/25/2022,09/11/2021,Eastern Region,Fully Vaccinated,1162,27,25,5063825
02/25/2022,08/21/2021,Northern Region,Unvaccinated,1723,38,14,3115752
02/25/2022,08/28/2021,Southwest Region,Fully Vaccinated,865,29,10,4949191
02/25/2022,10/16/2021,Southwest Region,Fully Vaccinated,760,22,12,5301431
02/25/2022,06/05/2021,Eastern Region,Partially Vaccinated,14,0,0,686005
02/25/2022,09/11/2021,Northwest Region,Fully Vaccinated,760,30,17,5063825
02/25/2022,07/31/2021,Northern Region,Fully Vaccinated,657,8,2,4750193
02/25/2022,02/06/2021,Central Region,Unvaccinated,3678,111,64,7630222
02/25/2022,06/05/2021,Northwest Region,Partially Vaccinated,13,1,0,686005
02/25/2022,02/19/2022,Southwest Region,Partially Vaccinated,326,5,2,718026
02/25/2022,09/18/2021,Eastern Region,Partially Vaccinated,333,7,3,586579
02/25/2022,09/04/2021,Eastern Region,Fully Vaccinated,1126,33,14,5010277
02/25/2022,02/13/2021,Eastern Region,Fully Vaccinated,8,0,0,390315
02/25/2022,04/03/2021,Northern Region,Partially Vaccinated,302,4,2,1263428
02/25/2022,07/17/2021,Northwest Region,Fully Vaccinated,87,4,0,4670305
02/25/2022,02/12/2022,Eastern Region,Fully Vaccinated,730,13,2,6085368
02/25/2022,07/17/2021,Northwest Region,Unvaccinated,389,19,3,3442766
02/25/2022,01/30/2021,Southwest Region,Fully Vaccinated,2,0,0,154163
02/25/2022,07/03/2021,Southwest Region,Partially Vaccinated,17,3,0,490579
02/25/2022,11/06/2021,Southwest Region,Fully Vaccinated,470,23,5,5452346
02/25/2022,02/12/2022,Eastern Region,Unvaccinated,1805,23,13,1803338
02/25/2022,07/24/2021,Northwest Region,Fully Vaccinated,175,2,2,4711193
02/25/2022,02/13/2021,Northwest Region,Unvaccinated,2496,72,21,7510395
02/25/2022,05/15/2021,Northern Region,Partially Vaccinated,70,2,0,813405
02/25/2022,09/04/2021,Northwest Region,Fully Vaccinated,735,35,11,5010277
02/25/2022,09/11/2021,Central Region,Partially Vaccinated,246,2,4,591457
02/25/2022,07/10/2021,Northwest Region,Unvaccinated,274,14,3,3486200
02/25/2022,04/10/2021,Central Region,Fully Vaccinated,33,4,2,2104799
02/25/2022,07/17/2021,Central Region,Fully Vaccinated,110,3,1,4670305
02/25/2022,02/20/2021,Central Region,Unvaccinated,2352,76,35,7401645
02/25/2022,11/06/2021,Northwest Region,Partially Vaccinated,101,4,0,586112
02/25/2022,02/19/2022,Central Region,Partially Vaccinated,130,1,0,718026
02/25/2022,08/14/2021,Central Region,Unvaccinated,2276,64,27,3181362
02/25/2022,05/15/2021,Northern Region,Fully Vaccinated,46,1,1,3641299
02/25/2022,07/24/2021,Central Region,Fully Vaccinated,199,8,3,4711193
02/25/2022,07/17/2021,Eastern Region,Partially Vaccinated,40,4,1,477492
02/25/2022,12/25/2021,Southwest Region,Fully Vaccinated,1087,18,9,5854190
02/25/2022,01/15/2022,Southwest Region,Fully Vaccinated,2044,31,22,5973024
02/25/2022,03/20/2021,Central Region,Unvaccinated,1565,49,30,6384845
02/25/2022,10/16/2021,Eastern Region,Fully Vaccinated,597,12,6,5301431
02/25/2022,10/16/2021,Eastern Region,Unvaccinated,1600,52,19,2715505
02/25/2022,03/20/2021,Southwest Region,Fully Vaccinated,15,2,1,1262880
02/25/2022,09/04/2021,Southwest Region,Unvaccinated,4741,142,65,2988376
02/25/2022,08/14/2021,Southwest Region,Fully Vaccinated,576,18,7,4835730
02/25/2022,08/21/2021,Northwest Region,Unvaccinated,2487,79,27,3115752
02/25/2022,02/13/2021,Southwest Region,Partially Vaccinated,142,7,6,689853
02/25/2022,04/10/2021,Southwest Region,Unvaccinated,1274,85,32,5178265
02/25/2022,11/13/2021,Southwest Region,Partially Vaccinated,126,4,3,656077
02/25/2022,08/07/2021,Northern Region,Unvaccinated,1367,51,10,3252147
02/25/2022,04/24/2021,Southwest Region,Fully Vaccinated,48,9,3,2774366
02/25/2022,03/06/2021,Southwest Region,Fully Vaccinated,11,1,0,954495
02/25/2022,03/20/2021,Southwest Region,Partially Vaccinated,121,7,3,942838
02/25/2022,04/10/2021,Eastern Region,Unvaccinated,1959,66,24,5178265
02/25/2022,01/08/2022,Southwest Region,Unvaccinated,10852,77,77,1953145
02/25/2022,07/03/2021,Northwest Region,Partially Vaccinated,9,4,1,490579
02/25/2022,02/05/2022,Eastern Region,Fully Vaccinated,1126,22,8,6062589
02/25/2022,05/22/2021,Eastern Region,Partially Vaccinated,30,2,0,765390
02/25/2022,01/22/2022,Southwest Region,Fully Vaccinated,1385,30,15,5744451
02/25/2022,05/22/2021,Northern Region,Fully Vaccinated,45,2,1,3881619
02/25/2022,05/22/2021,Southwest Region,Partially Vaccinated,27,5,0,765390
02/25/2022,01/29/2022,Eastern Region,Unvaccinated,8171,95,21,1840305
02/25/2022,07/24/2021,Eastern Region,Partially Vaccinated,64,0,0,488820
02/25/2022,09/11/2021,Southwest Region,Unvaccinated,4747,136,75,2935281
02/25/2022,03/06/2021,Central Region,Partially Vaccinated,91,8,2,673662
02/25/2022,07/31/2021,Southwest Region,Fully Vaccinated,354,24,2,4750193
02/25/2022,08/14/2021,Northwest Region,Unvaccinated,1727,69,20,3181362
02/25/2022,02/06/2021,Eastern Region,Unvaccinated,5075,212,76,7630222
02/25/2022,08/14/2021,Central Region,Fully Vaccinated,538,9,10,4835730
02/25/2022,12/18/2021,Southwest Region,Fully Vaccinated,800,33,15,5818633
02/25/2022,04/10/2021,Northwest Region,Fully Vaccinated,28,2,0,2104799
02/25/2022,04/03/2021,Central Region,Partially Vaccinated,190,12,4,1263428
02/25/2022,07/10/2021,Central Region,Fully Vaccinated,70,3,1,4622868
02/25/2022,02/12/2022,Northwest Region,Unvaccinated,3000,22,11,1803338
02/25/2022,05/29/2021,Southwest Region,Fully Vaccinated,23,2,0,4034017
02/25/2022,10/02/2021,Eastern Region,Unvaccinated,2678,64,28,2799766
02/25/2022,02/12/2022,Central Region,Fully Vaccinated,714,10,0,6085368
02/25/2022,06/19/2021,Northwest Region,Partially Vaccinated,6,1,0,528005
02/25/2022,08/14/2021,Northern Region,Fully Vaccinated,855,12,4,4835730
02/25/2022,06/19/2021,Central Region,Fully Vaccinated,20,0,0,4440126
02/25/2022,10/23/2021,Southwest Region,Unvaccinated,1848,78,42,2671233
02/25/2022,04/03/2021,Northwest Region,Partially Vaccinated,118,8,1,1263428
02/25/2022,09/11/2021,Northwest Region,Unvaccinated,4241,103,52,2935281
02/25/2022,01/15/2022,Eastern Region,Partially Vaccinated,2099,34,8,715730
02/25/2022,08/07/2021,Northwest Region,Unvaccinated,1466,46,13,3252147
02/25/2022,11/06/2021,Southwest Region,Partially Vaccinated,134,10,0,586112
02/25/2022,08/28/2021,Northern Region,Unvaccinated,1804,49,8,3050354
02/25/2022,01/08/2022,Eastern Region,Partially Vaccinated,2594,57,18,703698
02/25/2022,06/26/2021,Northern Region,Unvaccinated,200,4,1,3796106
02/25/2022,05/15/2021,Central Region,Partially Vaccinated,41,4,0,813405
02/25/2022,01/08/2022,Eastern Region,Fully Vaccinated,3277,167,45,5933720
02/25/2022,08/28/2021,Central Region,Partially Vaccinated,254,4,2,591018
02/25/2022,05/08/2021,Southwest Region,Fully Vaccinated,43,5,1,3388269
02/25/2022,07/10/2021,Northern Region,Unvaccinated,315,15,2,3486200
02/25/2022,08/28/2021,Eastern Region,Unvaccinated,4490,118,56,3050354
02/25/2022,07/17/2021,Southwest Region,Partially Vaccinated,19,0,0,477492
02/25/2022,11/20/2021,Eastern Region,Partially Vaccinated,104,6,1,707023
02/25/2022,03/27/2021,Northwest Region,Unvaccinated,1442,28,14,5923472
02/25/2022,10/23/2021,Northwest Region,Fully Vaccinated,523,19,8,5340783
02/25/2022,01/01/2022,Eastern Region,Partially Vaccinated,2037,90,9,693466
02/25/2022,04/03/2021,Northern Region,Fully Vaccinated,48,0,0,1791672
02/25/2022,03/13/2021,Northwest Region,Unvaccinated,1422,28,23,6682282
02/25/2022,10/02/2021,Central Region,Partially Vaccinated,178,2,2,575626
02/25/2022,01/29/2022,Northwest Region,Fully Vaccinated,1367,20,8,6033335
02/25/2022,02/12/2022,Eastern Region,Partially Vaccinated,249,3,0,701857
02/25/2022,02/06/2021,Southwest Region,Unvaccinated,2673,112,48,7630222
02/25/2022,05/22/2021,Northern Region,Unvaccinated,432,9,4,3943554
02/25/2022,02/27/2021,Southwest Region,Unvaccinated,1428,66,16,7227138
02/25/2022,10/30/2021,Northern Region,Partially Vaccinated,116,4,0,571635
02/25/2022,06/26/2021,Eastern Region,Unvaccinated,267,21,9,3796106
02/25/2022,10/09/2021,Northwest Region,Partially Vaccinated,213,4,3,575358
02/25/2022,01/30/2021,Northern Region,Fully Vaccinated,3,0,0,154163
02/25/2022,12/11/2021,Eastern Region,Partially Vaccinated,174,5,1,663275
02/25/2022,03/06/2021,Southwest Region,Unvaccinated,1409,58,56,6962406
02/25/2022,06/05/2021,Central Region,Partially Vaccinated,11,1,0,686005
02/25/2022,12/11/2021,Northern Region,Fully Vaccinated,1356,19,3,5765133
02/25/2022,02/27/2021,Eastern Region,Unvaccinated,2596,95,27,7227138
02/25/2022,11/20/2021,Northwest Region,Partially Vaccinated,109,4,2,707023
02/25/2022,01/22/2022,Central Region,Partially Vaccinated,909,4,9,686611
02/25/2022,05/29/2021,Southwest Region,Partially Vaccinated,34,4,0,735030
02/25/2022,09/18/2021,Northwest Region,Fully Vaccinated,825,34,17,5122214
02/25/2022,10/02/2021,Southwest Region,Unvaccinated,3551,115,66,2799766
02/25/2022,04/24/2021,Northwest Region,Partially Vaccinated,120,7,3,1191184
02/25/2022,03/06/2021,Eastern Region,Unvaccinated,2263,100,60,6962406
02/25/2022,07/24/2021,Eastern Region,Unvaccinated,1213,71,8,3390550
02/25/2022,02/19/2022,Northern Region,Partially Vaccinated,173,2,0,718026
02/25/2022,07/03/2021,Northern Region,Fully Vaccinated,68,1,1,4574274
02/25/2022,03/27/2021,Northern Region,Unvaccinated,2607,56,9,5923472
02/25/2022,05/15/2021,Central Region,Fully Vaccinated,33,1,0,3641299
02/25/2022,04/10/2021,Central Region,Partially Vaccinated,183,13,2,1307499
02/25/2022,10/02/2021,Eastern Region,Fully Vaccinated,849,19,12,5215171
02/25/2022,05/29/2021,Southwest Region,Unvaccinated,388,22,8,3821516
02/25/2022,09/18/2021,Northwest Region,Unvaccinated,3979,105,49,2881770
02/25/2022,05/22/2021,Northwest Region,Partially Vaccinated,25,2,0,765390
02/25/2022,03/27/2021,Northwest Region,Fully Vaccinated,25,0,0,1509256
02/25/2022,06/05/2021,Central Region,Fully Vaccinated,15,2,0,4159224
02/25/2022,02/12/2022,Northern Region,Fully Vaccinated,1045,3,0,6085368
02/25/2022,01/08/2022,Northwest Region,Fully Vaccinated,1957,56,37,5933720
02/25/2022,10/16/2021,Eastern Region,Partially Vaccinated,136,6,0,573627
02/25/2022,11/13/2021,Central Region,Partially Vaccinated,87,2,1,656077
02/25/2022,10/02/2021,Central Region,Unvaccinated,2428,51,30,2799766
02/25/2022,08/14/2021,Northern Region,Unvaccinated,1528,55,10,3181362
02/25/2022,07/10/2021,Central Region,Partially Vaccinated,26,0,0,481495
02/25/2022,03/13/2021,Southwest Region,Fully Vaccinated,7,1,0,1124493
02/25/2022,10/09/2021,Eastern Region,Unvaccinated,2286,67,34,2758088
02/25/2022,01/22/2022,Eastern Region,Unvaccinated,13812,179,34,2159501
02/25/2022,01/23/2021,Eastern Region,Partially Vaccinated,221,6,9,448810
02/25/2022,01/23/2021,Southwest Region,Fully Vaccinated,1,0,0,90828
02/25/2022,11/06/2021,Eastern Region,Fully Vaccinated,399,10,2,5452346
02/25/2022,07/17/2021,Central Region,Unvaccinated,588,14,7,3442766
02/25/2022,10/23/2021,Eastern Region,Partially Vaccinated,106,3,1,578547
02/25/2022,12/11/2021,Southwest Region,Unvaccinated,2869,111,71,2162155
02/25/2022,09/25/2021,Northwest Region,Fully Vaccinated,771,27,13,5175481
02/25/2022,08/14/2021,Eastern Region,Partially Vaccinated,280,10,4,573471
02/25/2022,09/18/2021,Northern Region,Unvaccinated,2159,49,11,2881770
02/25/2022,02/05/2022,Central Region,Fully Vaccinated,868,10,6,6062589
02/25/2022,09/04/2021,Northern Region,Partially Vaccinated,208,5,1,591910
02/25/2022,10/02/2021,Northwest Region,Fully Vaccinated,715,31,10,5215171
02/25/2022,02/27/2021,Southwest Region,Partially Vaccinated,61,5,3,581388
02/25/2022,06/12/2021,Northern Region,Partially Vaccinated,19,0,0,591505
02/25/2022,08/21/2021,Eastern Region,Fully Vaccinated,1026,24,20,4888613
02/25/2022,07/24/2021,Eastern Region,Fully Vaccinated,270,9,2,4711193
02/25/2022,02/20/2021,Southwest Region,Fully Vaccinated,12,2,0,554321
02/25/2022,02/12/2022,Central Region,Partially Vaccinated,258,4,0,701857
02/25/2022,09/11/2021,Central Region,Unvaccinated,3470,45,42,2935281
02/25/2022,09/04/2021,Eastern Region,Partially Vaccinated,359,12,4,591910
02/25/2022,05/01/2021,Central Region,Unvaccinated,1005,34,7,4409894
02/25/2022,09/04/2021,Central Region,Fully Vaccinated,508,14,14,5010277
02/25/2022,12/25/2021,Central Region,Fully Vaccinated,946,7,7,5854190
02/25/2022,02/06/2021,Eastern Region,Fully Vaccinated,0,0,0,247832
02/25/2022,09/11/2021,Northern Region,Partially Vaccinated,235,7,2,591457
02/25/2022,07/03/2021,Southwest Region,Unvaccinated,287,28,6,3525710
02/25/2022,07/31/2021,Southwest Region,Partially Vaccinated,49,5,0,513635
02/25/2022,11/27/2021,Northwest Region,Fully Vaccinated,602,21,9,5573636
02/25/2022,12/18/2021,Northwest Region,Unvaccinated,3265,70,47,2105214
02/25/2022,08/21/2021,Northern Region,Partially Vaccinated,213,5,1,586198
02/25/2022,11/13/2021,Northern Region,Fully Vaccinated,831,15,5,5497046
